timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"93.631",,"511",
"93.634","36",,
"93.637",,"514",
"93.64","36",,
"93.643",,"510",
"93.645","36",,
"93.649",,"510",
"93.651","36",,
"93.655",,"510",
"93.658","37",,
"93.661",,"510",
"93.664","37",,
"93.667",,"513",
"93.67","37",,
"93.673",,"510",
"93.675","37",,
"93.679",,"510",
"93.681","37",,
"93.684",,"510",
"93.687","37",,
"93.69",,"510",
"93.693","37",,
"93.697",,"512",
"93.7","37",,
"93.703",,"511",
"93.705","37",,
"93.709",,"510",
"93.711","37",,
"93.714",,"510",
"93.717","38",,
"93.72",,"510",
"93.723","38",,
"93.726",,"511",
"93.729","38",,
"93.732",,"513",
"93.734","38",,
"93.739",,"510",
"93.741","38",,
"93.745",,"510",
"93.747","38",,
"93.75",,"510",
"93.753","38",,
"93.756",,"511",
"93.759","38",,
"93.762",,"514",
"93.765","38",,
"93.768",,"510",
"93.77","38",,
"93.774",,"510",
"93.776","39",,
"93.779",,"510",
"93.783","39",,
"93.786",,"511",
"93.789","39",,
"93.792",,"513",
"93.795","39",,
"93.798",,"510",
"93.8","39",,
"93.804",,"510",
"93.806","39",,
"93.809",,"510",
"93.812","39",,
"93.815",,"511",
"93.818","39",,
"93.821",,"512",
"93.825","39",,
"93.828",,"512",
"93.83","39",,
"93.834",,"510",
"93.836","40",,
"93.839",,"510",
"93.842","40",,
"93.845",,"510",
"93.848","40",,
"93.851",,"511",
"93.854","40",,
"93.857",,"514",
"93.859","40",,
"93.863",,"510",
"93.865","40",,
"93.87",,"510",
"93.872","40",,
"93.875",,"510",
"93.878","40",,
"93.881",,"511",
"93.884","40",,
"93.887",,"515",
"93.89","40",,
"93.893",,"510",
"93.895","41",,
"93.899",,"510",
"93.901","41",,
"93.904",,"510",
"93.907","41",,
"93.911",,"511",
"93.914","41",,
"93.917",,"513",
"93.92","41",,
"93.923",,"511",
"93.925","41",,
"93.929",,"510",
"93.931","41",,
"93.934",,"510",
"93.937","41",,
"93.94",,"510",
"93.943","41",,
"93.946",,"512",
"93.949","41",,
"93.953",,"513",
"93.955","42",,
"93.959",,"510",
"93.961","42",,
"93.965",,"510",
"93.967","42",,
"93.97",,"510",
"93.973","42",,
"93.976",,"511",
"93.979","42",,
"93.982",,"514",
"93.985","42",,
"93.988",,"510",
"93.99","42",,
"93.995",,"510",
"93.997","42",,
"94",,"510",
"94.003","42",,
"94.006",,"511",
"94.009","42",,
"94.012",,"514",
"94.015","43",,
"94.018",,"510",
"94.02","43",,
"94.024",,"510",
"94.026","43",,
"94.029",,"510",
"94.032","43",,
"94.035",,"510",
"94.039","43",,
"94.042",,"513",
"94.045","43",,
"94.048",,"512",
"94.05","43",,
"94.054",,"510",
"94.056","43",,
"94.059",,"510",
"94.062","43",,
"94.065",,"510",
"94.068","43",,
"94.071",,"511",
"94.074","44",,
